train_acc,train_loss,val_acc,val_loss,train_jac,val_jac
0.8349010216236027,0.40378702,0.9050644398292372,0.3306129,0.012865269212198091,0.005925925793532632
0.9064142844053509,0.30345297,0.9049791161878389,0.29281336,0.0041176469668577145,0.005925925793538172
0.9060423996701484,0.2852851,0.9048940233067959,0.27396542,0.004121095942600726,0.004450918260390794
0.9060205699102069,0.2658268,0.9051201684550594,0.26185286,0.003060517114910471,0.0046961286079076
0.9062272768920652,0.25796315,0.9052872966424368,0.25581968,0.003969682928214233,0.004876961465924978
0.9060035046728971,0.24649395,0.9046085150571133,0.26196808,0.006691251899396507,0.009168876067700761
0.9061464861645594,0.23751819,0.9051473404869044,0.22945538,0.011582274981158073,0.01969550819032722
0.9064779182701119,0.2248552,0.9053784469828082,0.21990578,0.01760250747354482,0.015150185415728224
0.9063878046545721,0.21816593,0.9057675666320526,0.21392058,0.021742804188226515,0.02016827691760328
0.9065556624518967,0.21051726,0.9058589477327794,0.211155,0.02857525199514759,0.04133863733322532
0.9068707623236211,0.20840275,0.906206472827968,0.2045965,0.03537439872675082,0.037045720067841036
0.9116831134322888,0.193092,0.9175375562478367,0.20215149,0.09331192788394059,0.22464020329493065
0.9227566428440535,0.18286633,0.9252845852082613,0.18037345,0.22153902875588222,0.2806491879401384
0.9275839747113799,0.17773344,0.9251968385831314,0.18077505,0.30183612818227096,0.2876442234825205
0.9314537978742897,0.16916533,0.9293845044421367,0.17570212,0.3409435979145415,0.28730540529445364
0.9328139087410665,0.1668538,0.9319978077766241,0.16878273,0.3626096892882796,0.3185436714578558
0.9332829851566795,0.1663156,0.9332532017999308,0.16428101,0.36977709019008803,0.34133455488416886
0.9388970130108119,0.15181856,0.935477673935618,0.15676771,0.4112015186863787,0.4594691175001639
0.9398462754260583,0.14946707,0.9377754124841353,0.15296364,0.42297883791958585,0.4812210632695092
0.9424972741433022,0.14333752,0.9442616245529019,0.14110531,0.4408693129525465,0.45290648716467397
0.9436414925783398,0.14066088,0.9426106495904003,0.14371312,0.4475582093000412,0.5021372823803513
0.9462560930914423,0.13496692,0.9459627898926966,0.13700205,0.4704912155866623,0.4773844524666115
0.947700132856881,0.13162385,0.9482626052844121,0.13293439,0.47598858878893013,0.48331225249502396
0.9489322429906544,0.12859385,0.9483356986269761,0.13167381,0.48825203452040167,0.4915103250079685
0.9496543430456292,0.12739927,0.9481213799469252,0.1324896,0.4933095451663522,0.45028233528137207
0.9502176791277259,0.12649713,0.9499094842506058,0.12774655,0.49592601288767424,0.5159490781801718
0.9516473566061938,0.12292298,0.950220087688935,0.12724906,0.5051558232482742,0.5047261637670023
0.9521810518599961,0.12184188,0.9509496365524401,0.1258256,0.5127839143661892,0.5193666981326209
0.9525136750962067,0.121292636,0.951184896734741,0.12525241,0.5097377273966285,0.5040756629572974
0.952468961883819,0.12096146,0.9509657897773162,0.1256457,0.5132727688726257,0.5238326302281132
